program_name,parsed_rf,check_status
DynExUpTo2VarsConj,[ReLU(n + m + 1 - a)],YES
DynExUpTo2VarsDisj,[ReLU(n + m + 10 - a)],YES
DynExUpTo3VarsDisj,[ReLU(n + m + o + 1 - a)],YES
DynExUpTo4VarsDisj,[ReLU(1 + n + m + o + p - a)],YES
DynamiteExample,[ReLU(n - a)],YES
DynamiteExampleX4,[ReLU(n - a + 1)],YES
MultDisj,"[ReLU(n - a + 1), ReLU(m - b + 1)]",YES
Poly2VarsCondBreak,[ReLU(n + 1 - a)],YES
PolyClosingIn,[ReLU(m + 1 - a)],YES
Square2VarsDisj,"[ReLU(n + 1 - a), ReLU(m + 1 - b)]",YES
SquareDisj2Vars,"[ReLU(n + 1 - a), ReLU(n + 2 - b)]",YES
TwoPol4VarsConj,"[ReLU(n - a), ReLU(m - b)]",YES
TwoPol4VarsDisj,"[ ReLU(n - a + 1), ReLU(m - b + 1) ]",YES
AliasDarteFeautrierGonnordSAS2010Fig1,"[ReLU(x), ReLU(m - y), ReLU(y + 1)]",YES
AliasDarteFeautrierGonnordSAS2010cousot9,"[ReLU(i), ReLU(j)]",YES
AliasDarteFeautrierGonnordSAS2010easy1,[ ReLU(40 - x) ],YES
AliasDarteFeautrierGonnordSAS2010easy22,[ReLU(z)],YES
AliasDarteFeautrierGonnordSAS2010loops,[ReLU(x + 1)],YES
AliasDarteFeautrierGonnordSAS2010nestedLoop1,"[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]",YES
AliasDarteFeautrierGonnordSAS2010random1d2,[ReLU(m - x)],YES
AliasDarteFeautrierGonnordSAS2010random2d,[ReLU(10 - i)],YES
AliasDarteFeautrierGonnordSAS2010speedpldi2,"[ReLU(v), ReLU(v2)]",YES
AliasDarteFeautrierGonnordSAS2010speedpldi3,"[ReLU(n - i), ReLU(m - j)]",YES
AliasDarteFeautrierGonnordSAS2010speedpldi4,[ReLU(i)],YES
AliasDarteFeautrierGonnordSAS2010wcet2,"[ReLU(5 - i), ReLU(10 - j)]",YES
AliasDarteFeautrierGonnordSAS2010while2,"[ReLU(i), ReLU(j)]",YES
AliasDarteFeautrierGonnordSAS2010wise,[ReLU(x - y - 2) + ReLU(y - x - 2)],YES
AveryFLOPS2006Table1,"[ReLU(i), ReLU(y - i)]",YES
