program_name,parsed_rf,check_status
DynExUpTo2VarsConj,[ReLU(n - a + 1)],YES
DynExUpTo2VarsDisj,[ReLU(n + m - a + 1)],YES
DynExUpTo3VarsDisj,[ReLU(n - a + 1) + ReLU(m - a + 1) + ReLU(o - a + 1)],YES
DynExUpTo4VarsDisj,[ReLU(n + m + o + p + 1 - a)],YES
DynamiteEx2Vars,"[ReLU(n - 2*a + 1), ReLU(m - 2*b + 1)]",YES
DynamiteExample,[ReLU(n - a)],YES
DynamiteExampleX4,[ReLU(n - a + 1)],YES
MultDisj,[ReLU(n + 1 - a) + ReLU(m + 1 - b)],YES
Poly2VarsCondBreak,[ReLU(n - a + 1)],YES
PolyClosingIn,[ReLU(m - a + 1)],YES
Square2VarsDisj,"[ReLU(n + 1 - a), ReLU(m + 1 - b)]",YES
SquareDisj2Vars,[ReLU(n - a + 1) + ReLU(n - b + 1)],YES
TwoPol4VarsConj,[ReLU(m - b)],YES
TwoPol4VarsDisj,[ReLU(n - a) + ReLU(m - b)],YES
AliasDarteFeautrierGonnordSAS2010Fig1,"[ReLU(x+1),ReLU(m-y),ReLU(y+1)]",YES
AliasDarteFeautrierGonnordSAS2010cousot9,"[ReLU(i), ReLU(j)]",YES
AliasDarteFeautrierGonnordSAS2010easy1,[ReLU(40 - x)],YES
AliasDarteFeautrierGonnordSAS2010easy22,[ReLU(z)],YES
AliasDarteFeautrierGonnordSAS2010loops,"[ReLU(x), ReLU(x - y)]",YES
AliasDarteFeautrierGonnordSAS2010nestedLoop1,"[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]",YES
AliasDarteFeautrierGonnordSAS2010random1d2,[ReLU(m - x)],YES
AliasDarteFeautrierGonnordSAS2010random2d,[ReLU(10 - i)],YES
AliasDarteFeautrierGonnordSAS2010speedpldi2,"[ReLU(v), ReLU(v2)]",YES
AliasDarteFeautrierGonnordSAS2010speedpldi3,"[ReLU(n-i),ReLU(m-j)]",YES
AliasDarteFeautrierGonnordSAS2010speedpldi4,[ReLU(i)],YES
AliasDarteFeautrierGonnordSAS2010wcet2,"[ReLU(5 - i), ReLU(10 - j)]",YES
AliasDarteFeautrierGonnordSAS2010while2,"[ReLU(i), ReLU(j)]",YES
AliasDarteFeautrierGonnordSAS2010wise,[ReLU(x - y) + ReLU(y - x) - 2],YES
BradleyMannaSipmaCAV2005Fig1,[ReLU(y1 + y2)],YES
BrockschmidtCookFuhsCAV2013Fig1,[ReLU(n - i) + ReLU(i - j + 1)],YES
BrockschmidtCookFuhsCAV2013Fig9a,"[ReLU(n - i), ReLU(i + 1 - j)]",YES
