File,Class,Function
../nuTerm-advantage/DynExUpTo2VarsConj/DynExUpTo2VarsConj.jar,DynExUpTo2VarsConj,loop
../nuTerm-advantage/DynExUpTo2VarsDisj/DynExUpTo2VarsDisj.jar,DynExUpTo2VarsDisj,loop
../nuTerm-advantage/DynExUpTo3VarsDisj/DynExUpTo3VarsDisj.jar,DynExUpTo3VarsDisj,loop
../nuTerm-advantage/DynExUpTo4VarsDisj/DynExUpTo4VarsDisj.jar,DynExUpTo4VarsDisj,loop
../nuTerm-advantage/DynamiteEx2Vars/DynamiteEx2Vars.jar,DynamiteEx2Vars,loop
../nuTerm-advantage/DynamiteExample/DynamiteExample.jar,DynamiteExample,loop
../nuTerm-advantage/DynamiteExampleX4/DynamiteExampleX4.jar,DynamiteExampleX4,loop
../nuTerm-advantage/MultDisj/MultDisj.jar,MultDisj,loop
../nuTerm-advantage/Poly2VarsCondBreak/Poly2VarsCondBreak.jar,Poly2VarsCondBreak,loop
../nuTerm-advantage/PolyClosingIn/PolyClosingIn.jar,PolyClosingIn,loop
../nuTerm-advantage/Square2VarsDisj/Square2VarsDisj.jar,Square2VarsDisj,loop
../nuTerm-advantage/SquareDisj2Vars/SquareDisj2Vars.jar,SquareDisj2Vars,loop
../nuTerm-advantage/TwoPol4VarsConj/TwoPol4VarsConj.jar,TwoPol4VarsConj,loop
../nuTerm-advantage/TwoPol4VarsDisj/TwoPol4VarsDisj.jar,TwoPol4VarsDisj,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-Fig1/AliasDarteFeautrierGonnordSAS2010Fig1.jar,AliasDarteFeautrierGonnordSAS2010Fig1,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-cousot9/AliasDarteFeautrierGonnordSAS2010cousot9.jar,AliasDarteFeautrierGonnordSAS2010cousot9,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-easy1/AliasDarteFeautrierGonnordSAS2010easy1.jar,AliasDarteFeautrierGonnordSAS2010easy1,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-easy2-2/AliasDarteFeautrierGonnordSAS2010easy22.jar,AliasDarteFeautrierGonnordSAS2010easy22,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-loops/AliasDarteFeautrierGonnordSAS2010loops.jar,AliasDarteFeautrierGonnordSAS2010loops,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1/AliasDarteFeautrierGonnordSAS2010nestedLoop1.jar,AliasDarteFeautrierGonnordSAS2010nestedLoop1,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-random1d-2/AliasDarteFeautrierGonnordSAS2010random1d2.jar,AliasDarteFeautrierGonnordSAS2010random1d2,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-random2d/AliasDarteFeautrierGonnordSAS2010random2d.jar,AliasDarteFeautrierGonnordSAS2010random2d,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi2/AliasDarteFeautrierGonnordSAS2010speedpldi2.jar,AliasDarteFeautrierGonnordSAS2010speedpldi2,loop
../termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi3/AliasDarteFeautrierGonnordSAS2010speedpldi3.jar,AliasDarteFeautrierGonnordSAS2010speedpldi3,loop
