File,Class,Function
../termination-crafted/2Nested-1/B2Nested1.jar,B2Nested1,loop
../termination-crafted/4BitCounterPointer/B4BitCounterPointer.jar,B4BitCounterPointer,loop
../termination-crafted/4NestedWith3Variables-1/B4NestedWith3Variables1.jar,B4NestedWith3Variables1,loop
../termination-crafted/Bangalore-2/Bangalore2.jar,Bangalore2,loop
../termination-crafted/Bangalore_v4/Bangalorev4.jar,Bangalorev4,loop
../termination-crafted/Benghazi/Benghazi.jar,Benghazi,loop
../termination-crafted/Benghazi_nondet-2/Benghazinondet2.jar,Benghazinondet2,loop
../termination-crafted/Cairo/Cairo.jar,Cairo,loop
../termination-crafted/Cairo_step2-1/Cairostep21.jar,Cairostep21,loop
../termination-crafted/Collatz_bounded/Collatzbounded.jar,Collatzbounded,loop
../termination-crafted/Copenhagen/Copenhagen.jar,Copenhagen,loop
../termination-crafted/Copenhagen_disj-2/Copenhagendisj2.jar,Copenhagendisj2,loop
../termination-crafted/Gothenburg-1/Gothenburg1.jar,Gothenburg1,loop
../termination-crafted/Gothenburg_v2-1/Gothenburgv21.jar,Gothenburgv21,loop
../termination-crafted/Lobnya-Boolean-Reordered-2/LobnyaBooleanReordered2.jar,LobnyaBooleanReordered2,loop
../termination-crafted/McCarthy91_Iteration/McCarthy91Iteration.jar,McCarthy91Iteration,loop
../termination-crafted/MenloPark/MenloPark.jar,MenloPark,loop
../termination-crafted/Mysore-2/Mysore2.jar,Mysore2,loop
../termination-crafted/Nyala-2lex-2/Nyala2lex2.jar,Nyala2lex2,loop
../termination-crafted/Parallel/Parallel.jar,Parallel,loop
../termination-crafted/Piecewise/Piecewise.jar,Piecewise,loop
../termination-crafted/Pure2Phase-1/Pure2Phase1.jar,Pure2Phase1,loop
../termination-crafted/Pure3Phase-1/Pure3Phase1.jar,Pure3Phase1,loop
../termination-crafted/Singapore-2/Singapore2.jar,Singapore2,loop
../termination-crafted/Stockholm-1/Stockholm1.jar,Stockholm1,loop
../termination-crafted/TelAviv-Amir-Minimum/TelAvivAmirMinimum.jar,TelAvivAmirMinimum,loop
../termination-crafted/Thun-2/Thun2.jar,Thun2,loop
../termination-crafted/Toulouse-BranchesToLoop-2/ToulouseBranchesToLoop2.jar,ToulouseBranchesToLoop2,loop
../termination-crafted/Toulouse-MultiBranchesToLoop-2/ToulouseMultiBranchesToLoop2.jar,ToulouseMultiBranchesToLoop2,loop
../termination-crafted/Waldkirch/Waldkirch.jar,Waldkirch,loop
../termination-crafted/WhileFalse/WhileFalse.jar,WhileFalse,loop
../termination-crafted/easy1/easy1.jar,easy1,loop
../termination-crafted/easy2-2/easy22.jar,easy22,loop
