File,Class,Function
../termination-restricted-15/DivMinus/DivMinus.jar,DivMinus,loop
../termination-restricted-15/DivMinus2/DivMinus2.jar,DivMinus2,loop
../termination-restricted-15/GCD3/GCD3.jar,GCD3,loop
../termination-restricted-15/GCD4/GCD4.jar,GCD4,loop
../termination-restricted-15/IntPath/IntPath.jar,IntPath,loop
../termination-restricted-15/Log/Log.jar,Log,loop
../termination-restricted-15/LogAG/LogAG.jar,LogAG,loop
../termination-restricted-15/McCarthyIterative/McCarthyIterative.jar,McCarthyIterative,loop
../termination-restricted-15/MinusBuiltIn/MinusBuiltIn.jar,MinusBuiltIn,loop
../termination-restricted-15/MinusUserDefined/MinusUserDefined.jar,MinusUserDefined,loop
../termination-restricted-15/Nested-2/Nested2.jar,Nested2,loop
../termination-restricted-15/PastaA1/PastaA1.jar,PastaA1,loop
../termination-restricted-15/PastaA10/PastaA10.jar,PastaA10,loop
../termination-restricted-15/PastaA4/PastaA4.jar,PastaA4,loop
../termination-restricted-15/PastaA7/PastaA7.jar,PastaA7,loop
../termination-restricted-15/PastaB1/PastaB1.jar,PastaB1,loop
../termination-restricted-15/PastaB14/PastaB14.jar,PastaB14,loop
../termination-restricted-15/PastaB15/PastaB15.jar,PastaB15,loop
../termination-restricted-15/PastaB16/PastaB16.jar,PastaB16,loop
../termination-restricted-15/PastaB17/PastaB17.jar,PastaB17,loop
../termination-restricted-15/PastaB2/PastaB2.jar,PastaB2,loop
../termination-restricted-15/PastaB4/PastaB4.jar,PastaB4,loop
../termination-restricted-15/PastaB6/PastaB6.jar,PastaB6,loop
../termination-restricted-15/PastaB7/PastaB7.jar,PastaB7,loop
../termination-restricted-15/PastaC3/PastaC3.jar,PastaC3,loop
../termination-restricted-15/PastaC7/PastaC7.jar,PastaC7,loop
../termination-restricted-15/PastaC9/PastaC9.jar,PastaC9,loop
../termination-restricted-15/Sequence/Sequence.jar,Sequence,loop
../termination-restricted-15/WhileDecr/WhileDecr.jar,WhileDecr,loop
../termination-restricted-15/a.01/a01.jar,a01,loop
../termination-restricted-15/a.04/a04.jar,a04,loop
../termination-restricted-15/a.05/a05.jar,a05,loop
../termination-restricted-15/a.06/a06.jar,a06,loop
../termination-restricted-15/a.07/a07.jar,a07,loop
../termination-restricted-15/a.08/a08.jar,a08,loop
../termination-restricted-15/a.09_assume/a09assume.jar,a09assume,loop
../termination-restricted-15/a.10/a10.jar,a10,loop
../termination-restricted-15/b.01/b01.jar,b01,loop
../termination-restricted-15/b.02/b02.jar,b02,loop
../termination-restricted-15/b.03-no-inv_assume/b03noinvassume.jar,b03noinvassume,loop
../termination-restricted-15/b.03_assume/b03assume.jar,b03assume,loop
../termination-restricted-15/b.04/b04.jar,b04,loop
../termination-restricted-15/b.05/b05.jar,b05,loop
../termination-restricted-15/b.06/b06.jar,b06,loop
../termination-restricted-15/b.07/b07.jar,b07,loop
../termination-restricted-15/b.09-no-inv_assume/b09noinvassume.jar,b09noinvassume,loop
../termination-restricted-15/b.09_assume/b09assume.jar,b09assume,loop
../termination-restricted-15/b.10/b10.jar,b10,loop
../termination-restricted-15/b.11/b11.jar,b11,loop
../termination-restricted-15/b.12/b12.jar,b12,loop
../termination-restricted-15/b.13/b13.jar,b13,loop
../termination-restricted-15/b.14/b14.jar,b14,loop
../termination-restricted-15/b.15/b15.jar,b15,loop
../termination-restricted-15/b.16/b16.jar,b16,loop
../termination-restricted-15/b.17/b17.jar,b17,loop
../termination-restricted-15/b.18/b18.jar,b18,loop
../termination-restricted-15/c.01-no-inv/c01noinv.jar,c01noinv,loop
../termination-restricted-15/c.01_assume/c01assume.jar,c01assume,loop
../termination-restricted-15/c.02/c02.jar,c02,loop
../termination-restricted-15/c.03/c03.jar,c03,loop
../termination-restricted-15/c.07/c07.jar,c07,loop
../termination-restricted-15/c.08/c08.jar,c08,loop
../termination-restricted-15/ex3a/ex3a.jar,ex3a,loop
../termination-restricted-15/ex3b/ex3b.jar,ex3b,loop
../termination-restricted-15/java_AG313/javaAG313.jar,javaAG313,loop
../termination-restricted-15/java_Break/javaBreak.jar,javaBreak,loop
../termination-restricted-15/java_Continue1/javaContinue1.jar,javaContinue1,loop
../termination-restricted-15/java_Nested/javaNested.jar,javaNested,loop
