caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message,attemptCount,finalStatus,stopReason
DynExUpTo2VarsConj#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*a*a)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynExUpTo2VarsDisj#loop,[ReLU(n - a*a*4) + ReLU(m - a*a*4)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynExUpTo3VarsDisj#loop,[ReLU(n - 4*a*a) + ReLU(m - 4*a*a) + ReLU(o - 4*a*a)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynExUpTo4VarsDisj#loop,[ReLU(n - a*a*4) + ReLU(m - a*a*4) + ReLU(o - a*a*4) + ReLU(p - a*a*4)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynamiteEx2Vars#loop,[ ReLU(n - 4*a*a) + ReLU(m - 4*b*b) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynamiteExample#loop,[ReLU(n - a*a - 2*a - 1)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
DynamiteExampleX4#loop,[ReLU(n - 4*a*a)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
MultDisj#loop,[ReLU(n - a * b) + ReLU(m - a * b)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
Poly2VarsCondBreak#loop,"[ReLU(n - a + 1), ReLU(m - 4*a*a)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
PolyClosingIn#loop,[ReLU(m - a*a) + ReLU(a*a - m)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
Square2VarsDisj#loop,[ReLU(n - a*a) + ReLU(m - b*b)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
SquareDisj2Vars#loop,[ReLU(n - a*a) + ReLU(n - b)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
TwoPol4VarsConj#loop,"[ReLU(n - a*a - 2*a - 1), ReLU(m - b*b - 2*b - 1)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
TwoPol4VarsDisj#loop,[ReLU(n - a*a - 2*a - 1) + ReLU(m - b*b - 2*b - 1)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010Fig1#loop,[ ReLU(m - x) + ReLU(x) + ReLU(y) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010cousot9#loop,"[ReLU(i) + ReLU(j), ReLU(j)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010easy1#loop,[ ReLU(40 - x) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010easy22#loop,[ ReLU(z) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010loops#loop,"[ReLU(x), ReLU(x - y) + ReLU(y - x)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010nestedLoop1#loop,[ ReLU(n - i) + ReLU(m - j) + ReLU(N - k - 1) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010random1d2#loop,"[ReLU(m - x), ReLU(a) + ReLU(-a)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010random2d#loop,[ ReLU(10 - i) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010speedpldi2#loop,"[ReLU(n - v) + ReLU(m - v2), ReLU(v)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010speedpldi3#loop,[ ReLU(n - i) + ReLU(m - j) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010speedpldi4#loop,"[ReLU(i - 1), ReLU(i - m)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010wcet2#loop,[ ReLU(5 - i) + ReLU(9 - j) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010while2#loop,"[ReLU(i - 1), ReLU(j - 1)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AliasDarteFeautrierGonnordSAS2010wise#loop,[ReLU(x - y - 2) + ReLU(y - x - 2)],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
AveryFLOPS2006Table1#loop,[ ReLU(i) + ReLU(y - i) ],COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
BradleyMannaSipmaCAV2005Fig1#loop,"[ReLU(y1) + ReLU(y2), ReLU(y1 - y2) + ReLU(y2 - y1)]",COMPLETED,NOT_PROVED,NO,,"Java runtime is not configured for checker. Set NUTERA_JAVA_HOME first, or JAVA_HOME as fallback.",5,NOT_PROVED,
