caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
Bresenham1botht#loop,"[ ReLU(2 * Y * x - 2 * X * y - X + 2 * Y - v + c - k - 1), ReLU(v + 1), ReLU(y + 1) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Cohencu1botht#loop,"[ ReLU(6 - (6 * n + 6)), ReLU(a - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu2botht#loop,"[ ReLU(3 * n * n + 3 * n + 1), ReLU(n - 1), ReLU(x - y), ReLU(y - z), ReLU(z - 6) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu3botht#loop,"[ ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu4botht#loop,"[ ReLU(n - 1), ReLU(y - 1), ReLU(z - 1), ReLU(c - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 48,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Cohencu5botht#loop,"[ ReLU(z - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
Cohencu6botht#loop,"[ ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu7botht#loop,"[ ReLU(a + 1 - 1), ReLU(x + y - (a + 1) * (a + 1) * (a + 1)) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Dijkstra1botht#loop,"[ ReLU(n - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Dijkstra2botht#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Dijkstra3botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
