caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message,attemptCount,finalStatus,stopReason
Bresenham1botht#loop,[ReLU(2*Y*x - 2*X*y - X + 2*Y - v + c - k) + ReLU(v) + ReLU(-v)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Cohencu1botht#loop,[ReLU(k - 6*n - 6) + ReLU(6*n + 6 - k)],COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 15,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Cohencu2botht#loop,[ReLU(k - (3*n*n + 3*n + 1))],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Cohencu3botht#loop,[ ReLU(k - n*n*n) + ReLU(n) + ReLU(z - 6) + ReLU(y - 1) + ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,4,PROVED,
Cohencu4botht#loop,[ReLU(k - c) + ReLU(18*x + 12*y - y*z - 2*z + 6)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Cohencu5botht#loop,"[ ReLU(k - (z*z - 12*y - 6*z + 12 + c)), ReLU(6 - z) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 1,
  ""z"": 6,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Cohencu6botht#loop,[ReLU(a - n) + ReLU(y - z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Cohencu7botht#loop,[ReLU((a+1)*(a+1)*(a+1) - x - y)],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Dijkstra1botht#loop,[ReLU(n - q) + ReLU(q - n) + ReLU(r - (2*p + q))],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Dijkstra2botht#loop,"[ ReLU(q - 1), ReLU(k - c) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,5,PROVED,
Dijkstra3botht#loop,"[ReLU(4*n - q) + ReLU(q - 1), ReLU(k - c) + ReLU(p - 0)]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.,5,NOT_PROVED,
Dijkstra4botht#loop,[ReLU(q - 1) + ReLU(4*q - n - 1) + ReLU(c - 0)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,2,PROVED,
Dijkstra5botht#loop,[ ReLU(4*h*n*q - h*h*p - 4*n*p*q + p*q*q - 4*h*q*r + 4*p*q*r - c + k) ],COMPLETED,NOT_PROVED,NO,,Checker returned an error (exit code 1).,5,NOT_PROVED,
Dijkstra6botht#loop,[ ReLU(q) + ReLU(p) + ReLU(r) + ReLU(c) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.,5,PROVED,
Egcdbotht#loop,"[ReLU(a)+ReLU(b),ReLU(p)+ReLU(q)+ReLU(r)+ReLU(s)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.,1,PROVED,
