caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
DivMinus#loop,[ReLU(x) + ReLU(-y + 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
DivMinus2#loop,[ ReLU(x - y) + ReLU(y - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 2
}",Checker completed: candidate function could not prove termination.
GCD3#loop,[ReLU(y) + ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
GCD4#loop,[ReLU(y) + ReLU(x)],COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""x1"": 0
}",Checker completed: candidate function could not prove termination.
IntPath#loop,[ ReLU(i - 11) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Log#loop,"[ReLU(x - 1), ReLU(x1 - 1)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LogAG#loop,[x - 2*ReLU(x - 2) + ReLU(x - 2) - 2*ReLU(x1 - 2) + ReLU(x1 - 2) + 2*ReLU(r) - 2*ReLU(r1)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2
}",Checker completed: candidate function could not prove termination.
McCarthyIterative#loop,[ReLU(c) + ReLU(101 - x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 100
}",Checker completed: candidate function could not prove termination.
MinusBuiltIn#loop,[ReLU(2147483647 - x) + ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
MinusUserDefined#loop,"[ReLU(x) + ReLU(y), ReLU(x)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Nested2#loop,"[ReLU(10 - i), ReLU(12 - j)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaA1#loop,"[ReLU(x), ReLU(x - y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaA10#loop,[ ReLU(x - y) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PastaA4#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaA7#loop,[ReLU(x - y) + ReLU(x - z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB1#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB14#loop,[ReLU(x) + ReLU(-x) + ReLU(y) + ReLU(-y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB15#loop,"[ReLU(x - z) + ReLU(y - z), ReLU(x - y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB16#loop,"[ReLU(x), ReLU(y)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB17#loop,"[ReLU(x - z) + ReLU(y - z), ReLU(y - z)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB2#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB4#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB6#loop,[ReLU(x) + ReLU(y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaB7#loop,[ReLU(x - z) + ReLU(y - z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
PastaC3#loop,[ReLU(y - x)],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
PastaC7#loop,[ReLU(100 - i) + ReLU(k - j - 1)],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
PastaC9#loop,[ ReLU(x) + ReLU(y) ],COMPLETED,NOT_PROVED,NO,"{
  ""r"": 0,
  ""x"": 0,
  ""y"": 0,
  ""r1"": 2
}",Checker completed: candidate function could not prove termination.
Sequence#loop,"[ReLU(100 - i), ReLU(21 - j)]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
WhileDecr#loop,[ReLU(i - 6)],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0
}",Checker completed: candidate function could not prove termination.
a01#loop,"[ReLU(x), ReLU(y - x)]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
a04#loop,[ReLU(x - y)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a05#loop,[ReLU(2147483647 - y) + ReLU(x - y - 1)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a06#loop,[ ReLU(2147483647 - y) + ReLU(2147483647 - z) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a07#loop,[ReLU(x - y) + ReLU(x - z)],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
a08#loop,[ ReLU(2147483647 - x) + ReLU(y - x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
