name,class_name,jar_path,function_name,synthesis_result,final_status,error_summary
DynExUpTo2VarsConj,DynExUpTo2VarsConj,/home/benchmarking/nuTerm-advantage/DynExUpTo2VarsConj/DynExUpTo2VarsConj.jar,loop,Yes,Verified OK,
DynExUpTo2VarsDisj,DynExUpTo2VarsDisj,/home/benchmarking/nuTerm-advantage/DynExUpTo2VarsDisj/DynExUpTo2VarsDisj.jar,loop,Yes,Verified OK,
DynExUpTo3VarsDisj,DynExUpTo3VarsDisj,/home/benchmarking/nuTerm-advantage/DynExUpTo3VarsDisj/DynExUpTo3VarsDisj.jar,loop,Yes,Verified OK,
DynExUpTo4VarsDisj,DynExUpTo4VarsDisj,/home/benchmarking/nuTerm-advantage/DynExUpTo4VarsDisj/DynExUpTo4VarsDisj.jar,loop,Yes,Verified OK,
DynamiteEx2Vars,DynamiteEx2Vars,/home/benchmarking/nuTerm-advantage/DynamiteEx2Vars/DynamiteEx2Vars.jar,loop,Yes,Verified OK,
DynamiteExample,DynamiteExample,/home/benchmarking/nuTerm-advantage/DynamiteExample/DynamiteExample.jar,loop,Yes,Verified OK,
DynamiteExampleX4,DynamiteExampleX4,/home/benchmarking/nuTerm-advantage/DynamiteExampleX4/DynamiteExampleX4.jar,loop,Yes,Verified OK,
MultDisj,MultDisj,/home/benchmarking/nuTerm-advantage/MultDisj/MultDisj.jar,loop,Yes,Verified OK,
Poly2VarsCondBreak,Poly2VarsCondBreak,/home/benchmarking/nuTerm-advantage/Poly2VarsCondBreak/Poly2VarsCondBreak.jar,loop,Yes,Verified OK,
PolyClosingIn,PolyClosingIn,/home/benchmarking/nuTerm-advantage/PolyClosingIn/PolyClosingIn.jar,loop,Yes,Verified OK,
Square2VarsDisj,Square2VarsDisj,/home/benchmarking/nuTerm-advantage/Square2VarsDisj/Square2VarsDisj.jar,loop,Yes,Verified OK,
SquareDisj2Vars,SquareDisj2Vars,/home/benchmarking/nuTerm-advantage/SquareDisj2Vars/SquareDisj2Vars.jar,loop,Yes,Verified OK,
TwoPol4VarsConj,TwoPol4VarsConj,/home/benchmarking/nuTerm-advantage/TwoPol4VarsConj/TwoPol4VarsConj.jar,loop,Yes,Verified OK,
TwoPol4VarsDisj,TwoPol4VarsDisj,/home/benchmarking/nuTerm-advantage/TwoPol4VarsDisj/TwoPol4VarsDisj.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010Fig1,AliasDarteFeautrierGonnordSAS2010Fig1,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-Fig1/AliasDarteFeautrierGonnordSAS2010Fig1.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010cousot9,AliasDarteFeautrierGonnordSAS2010cousot9,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-cousot9/AliasDarteFeautrierGonnordSAS2010cousot9.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010easy1,AliasDarteFeautrierGonnordSAS2010easy1,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-easy1/AliasDarteFeautrierGonnordSAS2010easy1.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010easy22,AliasDarteFeautrierGonnordSAS2010easy22,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-easy2-2/AliasDarteFeautrierGonnordSAS2010easy22.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010loops,AliasDarteFeautrierGonnordSAS2010loops,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-loops/AliasDarteFeautrierGonnordSAS2010loops.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,AliasDarteFeautrierGonnordSAS2010nestedLoop1,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-nestedLoop-1/AliasDarteFeautrierGonnordSAS2010nestedLoop1.jar,loop,No,LLM MaxFail,
AliasDarteFeautrierGonnordSAS2010random1d2,AliasDarteFeautrierGonnordSAS2010random1d2,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-random1d-2/AliasDarteFeautrierGonnordSAS2010random1d2.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010random2d,AliasDarteFeautrierGonnordSAS2010random2d,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-random2d/AliasDarteFeautrierGonnordSAS2010random2d.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010speedpldi2,AliasDarteFeautrierGonnordSAS2010speedpldi2,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi2/AliasDarteFeautrierGonnordSAS2010speedpldi2.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010speedpldi3,AliasDarteFeautrierGonnordSAS2010speedpldi3,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi3/AliasDarteFeautrierGonnordSAS2010speedpldi3.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010speedpldi4,AliasDarteFeautrierGonnordSAS2010speedpldi4,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi4/AliasDarteFeautrierGonnordSAS2010speedpldi4.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010wcet2,AliasDarteFeautrierGonnordSAS2010wcet2,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-wcet2/AliasDarteFeautrierGonnordSAS2010wcet2.jar,loop,Yes,Verified OK,
AliasDarteFeautrierGonnordSAS2010while2,AliasDarteFeautrierGonnordSAS2010while2,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-while2/AliasDarteFeautrierGonnordSAS2010while2.jar,loop,Yes,Verified OK,
